"city2","City.x","Country","city_ascii","lat","lng","iso2","iso3","admin_name","capital","population","id","Land.area","Density","Population.Density","country2","ï..City","Private.passenger.transport.energy.use.per.capita","City.y"
"atlanta","Atlanta","United States","Atlanta",33.1136,-94.1672,"US","USA","Texas","",5526,1840019407,5083,"700",1.087153256,"united states","Atlanta",75061,"Atlanta"
"atlanta","Atlanta","United States","Atlanta",33.7627,-84.4224,"US","USA","Georgia","admin",5449398,1840013660,5083,"700",1072.083022,"united states","Atlanta",75061,"Atlanta"
"berlin","Berlin","Germany","Berlin",52.5167,13.3833,"DE","DEU","Berlin","primary",3644826,1276451290,984,"3,750",3704.091463,"germany","Berlin",11078,"Berlin"
"brisbane","Brisbane","Australia","Brisbane",-27.4678,153.0281,"AU","AUS","Queensland","admin",2514184,1036192929,1603,"950",1568.424205,"australia","Brisbane",39880,"Brisbane"
"brussels","Brussels","Belgium","Brussels",50.8333,4.3333,"BE","BEL","Brussels-Capital Region","primary",1743000,1056469830,712,"2,200",2448.033708,"belgium","Brussels",9299,"Brussels"
"calgary","Calgary","Canada","Calgary",51.05,-114.0667,"CA","CAN","Alberta","",1239220,1124690423,702,"1,250",1765.270655,"canada","Calgary",38679,"Calgary"
"chicago","Chicago","United States","Chicago",41.8373,-87.6862,"US","USA","Illinois","",8604203,1840000494,5498,"1,500",1564.969625,"united states","Chicago",43722,"Chicago"
"copenhagen","Copenhagen","Denmark","Copenhagen",55.6761,12.5689,"DK","DNK","Hovedstaden","primary",602481,1208763942,816,"1,850",738.3345588,"denmark","Copenhagen",16843,"Copenhagen"
"denver","Denver","United States","Denver",39.7621,-104.8759,"US","USA","Colorado","admin",2876625,1840018789,1292,"1,550",2226.489938,"united states","Denver",56252,"Denver"
"frankfurt","Frankfurt","Germany","Frankfurt",50.1136,8.6797,"DE","DEU","Hesse","minor",753056,1276054552,984,"2,300",765.300813,"germany","Frankfurt",18992,"Frankfurt"
"hamburg","Hamburg","Germany","Hamburg",53.55,10,"DE","DEU","Hamburg","admin",1841179,1276041799,829,"2,300",2220.963812,"germany","Hamburg",16740,"Hamburg"
"helsinki","Helsinki","Finland","Helsinki",60.1756,24.9342,"FI","FIN","Uusimaa","primary",642045,1246177997,479,"2100",1340.386221,"finland","Helsinki",11463,"Helsinki"
"houston","Houston","United States","Houston",29.7863,-95.3889,"US","USA","Texas","",5464251,1840020925,3355,"1,150",1628.688823,"united states","Houston",56331,"Houston"
"los angeles","Los Angeles","United States","Los Angeles",34.1139,-118.4068,"US","USA","California","",12750807,1840020491,4320,"2,750",2951.575694,"united states","Los Angeles",47978,"Los Angeles"
"madrid","Madrid","Spain","Madrid",40.4167,-3.7167,"ES","ESP","Madrid","primary",6026000,1724616994,945,"5,200",6376.719577,"spain","Madrid",12072,"Madrid"
"melbourne","Melbourne","Australia","Melbourne",-37.8136,144.9631,"AU","AUS","Victoria","admin",5078193,1036533631,2080,"1,500",2441.438942,"australia","Melbourne",33633,"Melbourne"
"munich","Munich","Germany","Munich",48.1372,11.5755,"DE","DEU","Bavaria","admin",1471508,1276692352,518,"3100",2840.749035,"germany","Munich",16205,"Munich"
"new orleans","New Orleans","United States","New Orleans",30.0687,-89.9288,"US","USA","Louisiana","",1020886,1840001839,512,"1950",1993.917969,"united states","New Orleans",33531,"New Orleans"
"perth","Perth","Australia","Perth",-31.9522,115.8589,"AU","AUS","Western Australia","admin",2059484,1036178956,964,"1,200",2136.394191,"australia","Perth",38646,"Perth"
"portland","Portland","United States","Portland",45.5372,-122.65,"US","USA","Oregon","",2074775,1840019941,1228,"1,300",1689.556189,"united states","Portland",46559,"Portland"
"portland","Portland","United States","Portland",41.5988,-72.589,"US","USA","Connecticut","",9322,1840004915,1228,"1,300",7.591205212,"united states","Portland",46559,"Portland"
"portland","Portland","United States","Portland",43.6773,-70.2715,"US","USA","Maine","",203969,1840000327,1228,"1,300",166.0985342,"united states","Portland",46559,"Portland"
"portland","Portland","United States","Portland",36.5883,-86.5194,"US","USA","Tennessee","",13030,1840014418,1228,"1,300",10.61074919,"united states","Portland",46559,"Portland"
"portland","Portland","United States","Portland",40.4375,-84.9833,"US","USA","Indiana","",6002,1840014175,1228,"1,300",4.88762215,"united states","Portland",46559,"Portland"
"portland","Portland","United States","Portland",27.8911,-97.3284,"US","USA","Texas","",17268,1840021006,1228,"1,300",14.06188925,"united states","Portland",46559,"Portland"
"portland","Portland","United States","Portland",42.8696,-84.899,"US","USA","Michigan","",5104,1840003073,1228,"1,300",4.156351792,"united states","Portland",46559,"Portland"
"san diego","San Diego","United States","San Diego",32.8312,-117.1225,"US","USA","California","",3220118,1840021990,2026,"1,300",1589.396841,"united states","San Diego",58302,"San Diego"
"seattle","Seattle","United States","Seattle",47.6211,-122.3244,"US","USA","Washington","",3789215,1840021117,2470,"1,100",1534.095142,"united states","Seattle",54593,"Seattle"
"singapore","Singapore","Singapore","Singapore",1.3,103.8,"SG","SGP","Central Singapore","primary",5745000,1702341327,479,"8350",11993.73695,"singapore","Singapore",7930,"Singapore"
"stockholm","Stockholm","Sweden","Stockholm",59.3294,18.0686,"SE","SWE","Stockholm","primary",972647,1752425602,518,"2700",1877.696911,"sweden","Stockholm",19111,"Stockholm"
"stuttgart","Stuttgart","Germany","Stuttgart",48.7761,9.1775,"DE","DEU","Baden-WÃ¼rttemberg","admin",634830,1276171358,414,"3000",1533.405797,"germany","Stuttgart",19254,"Stuttgart"
"sydney","Sydney","Australia","Sydney",-33.865,151.2094,"AU","AUS","New South Wales","admin",5312163,1036074917,1687,"2,100",3148.881446,"australia","Sydney",31701,"Sydney"
"toronto","Toronto","Canada","Toronto",43.7417,-79.3733,"CA","CAN","Ontario","",5429524,1124279679,1655,"2,650",3280.679154,"canada","Toronto",39743,"Toronto"
"vancouver","Vancouver","Canada","Vancouver",49.25,-123.1,"CA","CAN","British Columbia","",2264823,1124825478,1120,"1,650",2022.163393,"canada","Vancouver",24664,"Vancouver"
"vienna","Vienna","Austria","Vienna",48.2083,16.3731,"AT","AUT","Wien","primary",1911191,1040261752,453,"3400",4218.96468,"austria","Vienna",12314,"Vienna"
